*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=4316d Single Inverter and resistive tone control pcb e
*Date=11:52:52
*CreatedBy=Fritzing 0.9.2b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;84.5185;-20.8847;0;Bottom;Copper Fill88
2;;;21.0185;-20.8847;0;Bottom;Copper Fill118
3;;;71.8554;-38.9226;0;Bottom;Via4
4;;;117.577;-23.0437;0;Bottom;Copper Fill4
5;;;26.1354;-16.0626;0;Bottom;Via20
6;;;114.948;-18.9543;0;Bottom;Copper Fill111
7;;;119.583;-27.5268;0;Bottom;Copper Fill64
8;;;115.468;-24.9868;0;Bottom;Copper Fill48
9;;;31.1785;-30.8415;0;Bottom;Copper Fill50
10;;;54.991;-19.9068;0;Bottom;Copper Fill31
11;;;64.7192;-24.5169;0;Bottom;Copper Fill23
12;100nF;100 mil [THT, multilayer];32.1135;-28.3906;-45;Bottom;Cdc
13;;;55.3454;-9.71264;0;Bottom;Via27
14;;;25.5778;-16.0968;0;Bottom;Copper Fill102
15;;;79.4754;-10.9826;0;Bottom;Via24
16;;;85.471;-19.9068;0;Bottom;Copper Fill90
17;;;41.3754;-36.3826;0;Bottom;Via3
18;;;32.4854;-9.71264;0;Bottom;Via28
19;;;40.8178;-41.4968;0;Bottom;Copper Fill38
20;;;23.5585;-20.8847;0;Bottom;Copper Fill94
21;;;123.838;-35.6675;0;Bottom;Copper Fill43
22;;;61.1378;-33.8768;0;Bottom;Copper Fill119
23;;;123.342;-35.1468;0;Bottom;Copper Fill45
24;;;88.3654;-22.4126;0;Bottom;Via16
25;;;26.1354;-36.3826;0;Bottom;Via31
26;;;9.1186;-31.3368;0;Bottom;Copper Fill97
27;;;123.838;-34.6515;0;Bottom;Copper Fill104
28;;;90.1573;-30.3589;0;Bottom;Copper Fill36
29;;;32.9438;-9.7976;0;Bottom;Copper Fill56
30;;;117.488;-35.6675;0;Bottom;Copper Fill108
31;;;8.35537;-22.4126;0;Bottom;Via17
