*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=4316d Single Inverter and resistive tone control pcb d
*Date=18:52:13
*CreatedBy=Fritzing 0.9.2b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;21.6368;-37.219;0;Bottom;Via18
2;;;15.9512;-30.3236;0;Bottom;Copper Fill20
3;100k;THT;59.7368;-44.839;0;Bottom;RV
4;;;23.5966;-29.6759;0;Bottom;Copper Fill67
5;;;6.39679;-37.219;0;Bottom;Via17
6;;;58.4073;-16.4552;0;Bottom;Copper Fill52
7;;;124.447;-46.9352;0;Bottom;Copper Fill87
8;;;54.5973;-34.3622;0;Bottom;Copper Fill95
9;;;58.4073;-17.4966;0;Bottom;Copper Fill51
10;;THT;119.427;-24.519;0;Bottom;Out+  Out-
11;;;124.968;-47.4559;0;Bottom;Copper Fill88
12;;;58.4668;-16.899;0;Bottom;Via28
13;16k;THT;38.1468;-28.329;0;Bottom;RT1
14;;;54.5973;-32.5842;0;Bottom;Copper Fill96
15;;DIP (Dual Inline) [THT];45.7668;-37.219;-90;Bottom;4316-1
16;100nF;100 mil [THT, multilayer];63.5468;-39.759;90;Bottom;Cdc
17;;;32.258;-44.9159;0;Bottom;Copper Fill50
18;;;88.9468;-24.519;0;Bottom;Via23
19;;;55.499;-33.4859;0;Bottom;Copper Fill33
20;;;82.5968;-47.379;0;Bottom;Via9
21;;;120.269;-33.4859;0;Bottom;Copper Fill40
22;;;58.4073;-31.4666;0;Bottom;Copper Fill43
23;;;106.667;-24.0752;0;Bottom;Copper Fill126
24;;;96.5708;-28.9774;0;Bottom;Copper Fill21
25;;;82.5373;-34.3622;0;Bottom;Copper Fill93
26;;;24.1173;-30.1966;0;Bottom;Copper Fill120
27;;;3.85679;-2.92896;0;Bottom;Hole2
28;;;49.5768;-19.439;0;Bottom;Via26
29;;;57.8866;-16.9759;0;Bottom;Copper Fill53
30;;;27.9868;-35.949;0;Bottom;Via13
31;;;41.8973;-55.5712;0;Bottom;Copper Fill41
32;;;124.507;-67.699;0;Bottom;Hole3
33;;;41.9568;-49.919;0;Bottom;Via3
34;0.18nF;100 mil [THT, multilayer];45.7668;-44.839;0;Bottom;CBoost
35;;;31.7373;-44.3952;0;Bottom;Copper Fill48
36;;;115.557;-32.5842;0;Bottom;Copper Fill81
37;;;62.2173;-46.9352;0;Bottom;Copper Fill117
38;;;58.4668;-30.869;0;Bottom;Via22
39;100nF;100 mil [THT, multilayer];94.0268;-39.759;90;Bottom;Cdc
40;;;115.557;-32.5842;0;Bottom;Copper Fill128
41;;;118.44;-30.9459;0;Bottom;Copper Fill38
42;;;54.5973;-32.5842;0;Bottom;Copper Fill32
43;;;88.9508;-44.2174;0;Bottom;Copper Fill12
44;;;25.4508;-42.9474;0;Bottom;Copper Fill9
45;;;120.269;-30.9459;0;Bottom;Copper Fill39
46;;;58.928;-30.9459;0;Bottom;Copper Fill110
47;;;88.8873;-24.0752;0;Bottom;Copper Fill70
48;10nF;100 mil [THT, multilayer];33.0668;-32.139;90;Bottom;CT
49;;;85.0773;-32.5842;0;Bottom;Copper Fill91
50;;;118.097;-46.9352;0;Bottom;Copper Fill55
51;;;69.8968;-52.459;0;Bottom;Via5
52;;;88.8873;-25.1166;0;Bottom;Copper Fill69
53;;;26.7168;-49.919;0;Bottom;Via31
54;;;77.5168;-19.439;0;Bottom;Via25
55;;DIP (Dual Inline) [THT];106.727;-37.219;-90;Bottom;4316-3
