*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=4316d Single Inverter and resistive tone control pcb b
*Date=17:54:17
*CreatedBy=Fritzing 0.9.2b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;THT;118.434;-13.303;-90;Bottom;J11
2;;;112.954;-18.4406;0;Bottom;Copper Fill96
3;;THT;112.084;-18.383;0;Bottom;j17
4;;;104.445;-38.0875;0;Bottom;Copper Fill17
5;;;122.212;-26.4035;0;Bottom;Copper Fill67
6;100nF;100 mil [THT, multilayer];11.7543;-33.623;90;Bottom;C13
7;;THT;128.594;-14.573;0;Bottom;Out-  Out+
8;;THT;23.1843;-23.463;0;Bottom;j10
9;100k;THT;71.4443;-41.243;0;Bottom;RV2
10;;;72.3138;-43.8406;0;Bottom;Copper Fill84
11;10nF;100 mil [THT, multilayer];42.2343;-26.003;90;Bottom;CT1
12;;;112.052;-19.3677;0;Bottom;Copper Fill95
13;;;129.464;-24.7906;0;Bottom;Copper Fill75
14;;THT;49.8543;-38.703;-90;Bottom;J5
15;;THT;87.9543;-23.463;-90;Bottom;J10
16;;DIP (Dual Inline) [THT];24.4543;-31.083;-90;Bottom;4316-0
17;100k;THT;89.2243;-41.243;0;Bottom;RV1
18;0.18nF;100 mil [THT, multilayer];56.2043;-39.973;90;Bottom;C9
19;;;34.2138;-10.8206;0;Bottom;Copper Fill71
20;;;64.6938;-27.3306;0;Bottom;Copper Fill78
21;;;102.794;-38.7606;0;Bottom;Copper Fill94
22;;THT;53.6643;-57.753;-90;Bottom;Straight Ton V5 T1 V3 T3 V1
23;;THT;118.434;-23.463;-90;Bottom;J12
24;;THT;61.2843;-5.68304;-90;Bottom;Invert T0 V4 T2 V2 T4 V0
25;;;63.7921;-22.6189;0;Bottom;Copper Fill88
26;;;40.9956;-36.7921;0;Bottom;Copper Fill13
27;;THT;33.3443;-23.463;0;Bottom;j16
28;;THT;101.924;-38.703;0;Bottom;j22
29;;THT;20.6443;-48.863;0;Bottom;j13
30;;;128.562;-23.8889;0;Bottom;Copper Fill73
31;;THT;28.2643;-13.303;0;Bottom;j23
32;;;74.0156;-23.4825;0;Bottom;Copper Fill56
33;16k;THT;47.3143;-18.383;0;Bottom;RT5
34;;THT;39.6943;-41.243;0;Bottom;j7
35;;THT;30.8043;-38.703;0;Bottom;j9
36;;THT;67.6343;-34.893;0;Bottom;j3
37;100k;THT;58.7443;-43.783;0;Bottom;RV3
38;;;120.955;-22.8221;0;Bottom;Copper Fill58
39;;;71.4121;-42.9389;0;Bottom;Copper Fill82
40;;THT;44.7743;-38.703;0;Bottom;j20
41;;;95.1738;-27.3306;0;Bottom;Copper Fill76
42;;;68.4022;-31.6104;0;Bottom;Copper Fill65
43;;;129.464;-27.3306;0;Bottom;Copper Fill72
44;;;32.385;-10.8206;0;Bottom;Copper Fill70
45;;;2.86418;-3.14314;0;Bottom;Hole2
46;;THT;128.594;-28.543;0;Bottom;V+ V- GND GND
47;;;33.3121;-9.91891;0;Bottom;Copper Fill69
48;;THT;80.3343;-38.703;-90;Bottom;J3
49;;DIP (Dual Inline) [THT];85.4143;-31.083;-90;Bottom;4316-2
50;;THT;98.1143;-29.813;0;Bottom;j5
51;100k;THT;119.704;-41.243;0;Bottom;RV5
52;;THT;28.2643;-23.463;0;Bottom;j24
53;;THT;80.3343;-48.863;-90;Bottom;J4
54;100nF;100 mil [THT, multilayer];72.7143;-33.623;90;Bottom;C10
55;64k;THT;109.544;-20.923;0;Bottom;RT6
56;;THT;9.21427;-23.463;0;Bottom;j12
57;;THT;5.40427;-22.193;0;Bottom;Coil+ Coil-
58;;;30.7721;-26.4035;0;Bottom;Copper Fill81
59;;;101.892;-39.6877;0;Bottom;Copper Fill92
60;;;62.865;-23.5206;0;Bottom;Copper Fill89
61;;THT;16.8343;-38.703;0;Bottom;j19
62;;THT;57.4743;-23.463;-90;Bottom;J8
63;16k;THT;79.0643;-18.383;0;Bottom;RT8
64;;THT;57.4743;-13.303;-90;Bottom;J7
65;100nF;100 mil [THT, multilayer];42.2343;-33.623;90;Bottom;C11
66;;THT;63.8243;-23.463;0;Bottom;j15
