*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=SPDT JUMPER Switch-Array-PCB
*Date=15:06:53
*CreatedBy=Fritzing 0.9.0b.06.11.da4e
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;38.1508;-48.8588;0;Bottom;Copper Fill56
2;;;51.9176;-34.8253;0;Bottom;Copper Fill66
3;;;67.1783;-90.7855;0;Bottom;TXT2
4;;;66.7713;-110.841;0;Bottom;TXT2
5;;;44.45;-83.0218;0;Bottom;Copper Fill38
6;;THT;34.9256;-124.921;0;Bottom;D+
7;;THT;22.2256;-124.921;0;Bottom;C+
8;;;38.1;-122.493;0;Bottom;Copper Fill12
9;;;3.17565;-72.8508;0;Bottom;Hole8
10;;;66.9;-136.326;0;Bottom;TXT2
11;;;44.45;-123.662;0;Bottom;Copper Fill11
12;;;25.4;-81.828;0;Bottom;Copper Fill39
13;;THT;62.8656;-8.08091;0;Bottom;Vin
14;;;51.9176;-100.814;0;Bottom;Copper Fill67
15;;;66.661;-113.528;0;Bottom;TXT2
16;;;67.509;-37.4322;0;Bottom;TXT2
17;;THT;41.2756;-102.061;0;Bottom;D-1
18;;;43.5997;-16.4417;0;Bottom;TXT3
19;;THT;28.5756;-84.2809;0;Bottom;C-2
20;;;67.4913;-6.36101;0;Bottom;TXT1
21;;THT;15.8756;-102.061;0;Bottom;B-1
22;;;38.1;-99.608;0;Bottom;Copper Fill30
23;;;29.8704;-93.1818;0;Bottom;Copper Fill23
24;;;59.7916;-104.637;0;Bottom;Copper Fill22
25;;;57.8612;-122.443;0;Bottom;Copper Fill15
26;;;6.98556;-3.00091;0;Bottom;Hole12
27;;;68.6702;-16.8562;0;Bottom;TXT2
28;;;67.1605;-49.7264;0;Bottom;TXT2
29;;;-12.5063;-72.4103;90;Bottom;Ruler1
30;;;67.2229;-52.4891;0;Bottom;TXT2
31;;;59.1312;-127.523;0;Bottom;Copper Fill7
32;;;36.0172;-72.4808;0;Bottom;Copper Fill46
33;;THT;9.52556;-102.061;0;Bottom;B+1
34;;;61.0616;-86.8572;0;Bottom;Copper Fill34
35;;THT;41.2756;-36.0209;0;Bottom;D-5
36;;THT;28.5756;-102.061;0;Bottom;C-1
37;;;61.0616;-69.0772;0;Bottom;Copper Fill47
38;;;69.2157;-72.8508;0;Bottom;Hole7
39;;;66.9548;-103.121;0;Bottom;TXT2
40;;;65.4056;-3.00091;0;Bottom;Hole11
41;;;12.7;-99.608;0;Bottom;Copper Fill28
42;;;44.5008;-50.0018;0;Bottom;Copper Fill55
43;;;29.9195;-34.5093;0;Bottom;TXT3
44;;;25.4;-99.608;0;Bottom;Copper Fill29
45;;THT;34.9256;-66.5009;0;Bottom;D+3
46;;;60.4012;-107.203;0;Bottom;Copper Fill21
47;;;69.2157;-141.431;0;Bottom;Hole2
48;;;67.3651;-72.7515;0;Bottom;TXT2
