*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=SPDT-JUMPER-Switch-Array-PCB-big-pads
*Date=10:21:24
*CreatedBy=Fritzing 0.9.1b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;1.905;-143.245;0;Bottom;Copper Fill1
2;;THT;33.6556;-36.0209;0;Bottom;D+5
3;;;66.7008;-108.298;0;Bottom;TXT2
4;;;66.9723;-130.964;0;Bottom;TXT2
5;;;61.5696;-74.7668;0;Bottom;Copper Fill24
6;;;69.2157;-72.8508;0;Bottom;Hole7
7;;;67.0044;-126.082;0;Bottom;TXT2
8;;;52.578;-52.5164;0;Bottom;Copper Fill30
9;;THT;51.4356;-100.791;0;Bottom;Out-
10;;;67.4551;-65.2621;0;Bottom;TXT2
11;;;68.2965;-47.1302;0;Bottom;TXT2
12;;;66.7713;-110.841;0;Bottom;TXT2
13;;;67.4467;-34.6693;0;Bottom;TXT2
14;;;68.7777;-14.0628;0;Bottom;TXT2
15;;;31.1404;-89.3718;0;Bottom;Copper Fill20
16;;;66.9;-136.326;0;Bottom;TXT2
17;;;20.0606;-19.3111;0;Bottom;TXT4
18;;THT;33.6556;-84.2809;0;Bottom;D+2
19;;;67.0671;-87.9254;0;Bottom;TXT2
20;;;15.8369;-97.2966;0;Bottom;Copper Fill47
21;;;-12.5063;-72.4103;90;Bottom;Ruler1
22;;;6.98547;-141.431;0;Bottom;Hole10
23;;THT;42.5456;-36.0209;0;Bottom;D-5
24;;;16.6692;-64.8409;0;Bottom;TXT3
25;;THT;47.6586;-50.022;0;Bottom;Out+
26;;;42.9785;-26.4714;0;Bottom;TXT3
27;;;60.1218;-107.152;0;Bottom;Copper Fill16
28;;;68.9369;-27.3388;0;Bottom;TXT2
29;;;8.2169;-97.2966;0;Bottom;Copper Fill49
30;;;20.9169;-120.157;0;Bottom;Copper Fill46
31;;THT;15.8756;-102.061;0;Bottom;B-1
32;;;67.4216;-9.04156;0;Bottom;TXT1
33;;;60.1218;-84.2918;0;Bottom;Copper Fill23
34;;;48.5902;-47.5253;0;Bottom;Copper Fill37
35;;;58.2422;-124.957;0;Bottom;Copper Fill11
36;;;33.6169;-120.157;0;Bottom;Copper Fill42
37;;;67.3651;-72.7515;0;Bottom;TXT2
38;;;61.8236;-6.8853;0;Bottom;Copper Fill36
39;;;52.5272;-126.227;0;Bottom;Copper Fill8
40;;THT;62.8656;-27.1309;0;Bottom;D+
41;;THT;62.8656;-8.08091;0;Bottom;Vin
42;;;69.2157;-3.00082;0;Bottom;Hole5
43;;;67.509;-37.4322;0;Bottom;TXT2
44;;;60.7822;-109.692;0;Bottom;Copper Fill14
45;;;67.1783;-90.7855;0;Bottom;TXT2
46;;;58.2168;-100.141;0;Bottom;Copper Fill18
47;;;60.7822;-135.117;0;Bottom;Copper Fill4
48;;;61.5696;-92.5468;0;Bottom;Copper Fill19
49;;THT;51.4356;-65.2309;0;Bottom;Out-
50;;THT;33.6556;-102.061;0;Bottom;D+1
51;;;62.8269;-5.882;0;Bottom;Copper Fill35
52;;;66.9542;-133.808;0;Bottom;TXT2
