*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=4316ArrayPCB
*Date=23:16:13
*CreatedBy=Fritzing 0.9.1b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;THT;195.113;-12.5346;-90;Bottom;GND
2;;;24.0314;-55.8635;0;Bottom;TXT1
3;;;146.799;-30.079;0;Bottom;Copper Fill154
4;;THT;92.2431;-25.2346;-90;Bottom;2S3S-4
5;;THT;177.333;-43.0146;-90;Bottom;V+8.1
6;;THT;170.983;-12.5346;-90;Bottom;G7.2
7;;;13.8979;-9.3717;0;Bottom;TXT1
8;;THT;50.3331;-12.5346;-90;Bottom;G2.2
9;;THT;98.5931;-43.0146;-90;Bottom;V-4.1
10;;THT;56.6831;-43.0146;-90;Bottom;V+3.1
11;;THT;98.5931;-25.2346;-90;Bottom;G4.1
12;;DIP (Dual Inline) [THT];89.7031;-32.8546;-90;Bottom;4316-4
13;;;195.059;-13.569;0;Bottom;Copper Fill133
14;;THT;80.8131;-17.6146;-90;Bottom;J4-4
15;;THT;112.563;-15.0746;-90;Bottom;J5-2
16;;THT;45.2531;-40.4746;-90;Bottom;J2-7
17;;;148.768;-35.3876;0;Bottom;Copper Fill102
18;;THT;74.4631;-43.0146;-90;Bottom;V-3.1
19;;THT;104.943;-43.0146;-90;Bottom;V+5.1
20;;THT;8.42306;-43.0146;-90;Bottom;V+1.1
21;;;26.1493;-11.5878;0;Bottom;Copper Fill161
22;;;10.17;-9.32823;0;Bottom;TXT1
23;;THT;32.5531;-40.4746;-90;Bottom;C-3
24;;THT;68.1131;-25.2346;-90;Bottom;2S3S-3
25;;;27.1272;-25.2657;0;Bottom;Copper Fill137
26;;THT;98.5931;-12.5346;-90;Bottom;G4.2
27;;THT;160.823;-50.6346;-90;Bottom;J7-4
28;;;194.056;-12.5657;0;Bottom;Copper Fill135
29;;THT;146.853;-63.3346;-90;Bottom;V-6.2
30;;THT;88.4331;-40.4746;-90;Bottom;J4-5
31;;THT;80.8131;-43.0146;-90;Bottom;V+4.1
32;;THT;45.2531;-55.7146;-90;Bottom;J2-8
33;;;99.5172;-12.5657;0;Bottom;Copper Fill172
34;;THT;104.943;-40.4746;-90;Bottom;C-9
35;;THT;160.823;-40.4746;-90;Bottom;J7-3
36;;;123.647;-29.0757;0;Bottom;Copper Fill153
37;;THT;32.5531;-25.2346;-90;Bottom;J2-1
38;;;175.438;-37.953;0;Bottom;Copper Fill105
39;;;123.647;-25.2657;0;Bottom;Copper Fill138
40;;THT;32.5531;-65.8746;-90;Bottom;V+2.2
41;;THT;122.723;-12.5346;-90;Bottom;G5.2
42;;THT;177.333;-65.8746;-90;Bottom;V+8.2
43;;;98.5393;-30.079;0;Bottom;Copper Fill150
44;;THT;40.1731;-20.1546;-90;Bottom;J2-4
45;;THT;64.3031;-40.4746;-90;Bottom;J3-3
46;;;25.146;-12.5657;0;Bottom;Copper Fill162
47;;THT;117.643;-40.4746;-90;Bottom;J5-3
48;;;171.907;-12.5657;0;Bottom;Copper Fill182
49;;THT;104.943;-65.8746;-90;Bottom;V+5.2
50;;THT;28.7431;-63.3346;-90;Bottom;V-1.2
51;;;170.929;-30.079;0;Bottom;Copper Fill156
52;;THT;129.073;-40.4746;-90;Bottom;C-11
53;;THT;146.853;-43.0146;-90;Bottom;V-6.1
54;;;23.6093;-30.079;0;Bottom;Copper Fill183
55;;THT;43.9831;-25.2346;-90;Bottom;2S3S-2
56;;THT;26.2031;-40.4746;-90;Bottom;C-2
57;;THT;98.5931;-63.3346;-90;Bottom;V-4.2
58;;THT;16.0431;-15.0746;-90;Bottom;J1-2
59;;THT;132.883;-43.0146;-90;Bottom;1S4S-6
60;;THT;129.073;-65.8746;-90;Bottom;V+6.2
61;;THT;140.503;-25.2346;-90;Bottom;2S3S-6
62;;THT;13.5031;-20.1546;-90;Bottom;J1-4
63;;;147.777;-25.2657;0;Bottom;Copper Fill139
64;;THT;187.493;-40.4746;-90;Bottom;J8-3
65;;THT;74.4631;-12.5346;-90;Bottom;G3.2
66;;;170.929;-13.569;0;Bottom;Copper Fill179
67;;;47.7393;-30.079;0;Bottom;Copper Fill184
68;;;49.276;-12.5657;0;Bottom;Copper Fill174
69;;THT;188.763;-25.2346;-90;Bottom;2S3S-8
70;;THT;35.0931;-25.2346;-90;Bottom;J2-5
71;;THT;153.203;-40.4746;-90;Bottom;C-13
72;;THT;23.6631;-40.4746;-90;Bottom;J1-5
73;;DIP (Dual Inline) [THT];162.093;-32.8546;-90;Bottom;4316-7
74;;THT;117.643;-55.7146;-90;Bottom;J5-4
75;;THT;88.4331;-20.1546;-90;Bottom;J4-2
76;;THT;136.693;-25.2346;-90;Bottom;J6-3
77;;;17.223;-9.35109;0;Bottom;TXT1
78;;THT;60.4931;-43.0146;-90;Bottom;1S4S-3
79;;;49.8094;-34.1176;0;Bottom;Copper Fill89
80;;;197.653;-3.64451;0;Bottom;Hole4
81;;;171.907;-29.0757;0;Bottom;Copper Fill157
82;;;147.777;-29.0757;0;Bottom;Copper Fill155
83;;THT;136.693;-55.7146;-90;Bottom;J6-8
84;;DIP (Dual Inline) [THT];186.223;-32.8546;-90;Bottom;4316-8
85;;THT;98.5931;-40.4746;-90;Bottom;C-8
86;;THT;88.4331;-50.6346;-90;Bottom;J4-6
87;;THT;16.0431;-25.2346;-90;Bottom;J1-1
88;;THT;64.3031;-50.6346;-90;Bottom;J3-4
89;;;75.3872;-29.0757;0;Bottom;Copper Fill149
90;;THT;170.983;-25.2346;-90;Bottom;G7.1
91;;THT;177.333;-25.2346;-90;Bottom;J8-1
92;;;147.777;-12.5657;0;Bottom;Copper Fill169
93;;THT;80.8131;-65.8746;-90;Bottom;V+4.2
94;;THT;32.5531;-43.0146;-90;Bottom;V+2.1
95;;THT;160.823;-15.0746;-90;Bottom;J7-2
96;;;51.2572;-25.2657;0;Bottom;Copper Fill141
97;;THT;108.753;-43.0146;-90;Bottom;1S4S-5
98;;;97.536;-12.5657;0;Bottom;Copper Fill171
99;;;144.259;-30.079;0;Bottom;Copper Fill187
100;;;171.907;-25.2657;0;Bottom;Copper Fill143
101;;THT;23.6631;-48.0946;-90;Bottom;J1-6
102;;;26.1493;-30.079;0;Bottom;Copper Fill144
103;;THT;129.073;-43.0146;-90;Bottom;V+6.1
104;;THT;80.8131;-25.2346;-90;Bottom;J4-3
105;;THT;40.1731;-25.2346;-90;Bottom;J2-3
106;;;145.796;-12.5657;0;Bottom;Copper Fill168
107;;;75.3872;-25.2657;0;Bottom;Copper Fill142
108;;;99.5172;-25.2657;0;Bottom;Copper Fill140
109;;THT;122.723;-40.4746;-90;Bottom;C-10
110;;THT;90.9731;-40.4746;-90;Bottom;J4-7
111;;THT;64.3031;-25.2346;-90;Bottom;J3-1
112;;;170.929;-11.5878;0;Bottom;Copper Fill180
113;;DIP (Dual Inline) [THT];41.4431;-32.8546;-90;Bottom;4316-2
114;;THT;146.853;-40.4746;-90;Bottom;C-12
115;;THT;56.6831;-65.8746;-90;Bottom;V+3.2
116;;THT;153.203;-43.0146;-90;Bottom;V+7.1
117;;;99.5172;-29.0757;0;Bottom;Copper Fill151
118;;THT;195.113;-63.3346;-90;Bottom;V-
119;;THT;187.493;-55.7146;-90;Bottom;J8-4
120;;;27.1272;-12.5657;0;Bottom;Copper Fill163
121;;THT;90.9731;-55.7146;-90;Bottom;J4-8
122;;DIP (Dual Inline) [THT];65.5731;-32.8546;-90;Bottom;4316-3
