"HorizontalSelector","VerticalSelector","Name","MasterVol","MasterTone","AVol","ATone","BVol","BTone","CVol","CTone","DVol","DTone","ToneRange","S","TREM","VIB","AUX0","AUX1","SEQ"
0,0,"(0,0) seq-0",5,5,5,5,5,5,5,5,5,5,5,"(|(+AB)(+CD))",0,0,0,0,0
0,1,"(0,1)",5,5,5,5,5,5,0,0,0,0,5,"(|AB)",0,0,0,0,
0,2,"(0,2) seq-4",5,5,5,5,0,0,5,5,0,0,5,"(+AC)",0,0,0,0,4
0,3,"(0,3) seq-5",5,5,5,5,0,0,0,0,5,5,5,"(|AD)",0,0,0,0,5
0,4,"(0,4)",5,5,5,5,0,0,0,0,5,5,5,"(+AD)",0,0,0,0,
1,0,"(1,0) seq-1",5,5,5,5,0,0,0,0,0,0,5,"A",0,0,0,0,1
1,1,"(1,1)",5,5,0,0,5,5,5,5,0,0,5,"(|Bc)",0,0,0,0,
1,2,"(1,2)",5,5,2,0,1,5,0,5,1,0,5,"(+ABD)",0,0,0,0,
1,3,"(1,3)",5,5,0,0,5,5,0,0,5,5,5,"(|BD)",0,0,0,0,
1,4,"(1,4)",5,5,0,0,5,5,0,0,5,5,5,"(|Bd)",0,0,0,0,
2,0,"(2,0)",5,5,5,5,0,0,5,5,0,0,5,"(+CA)",0,0,0,0,
2,1,"(2,1)",5,5,0,0,5,5,5,5,0,0,5,"(|CB)",0,0,0,0,
2,2,"(2,2) seq-2",5,5,0,0,0,0,5,5,5,5,5,"(|Cd)",0,0,0,0,2
2,3,"(2,3)",5,5,0,0,0,0,2,3,2,3,5,"(+CD)",0,0,0,0,
2,4,"(2,4)",5,5,0,0,0,0,5,5,5,5,5,"(|Cd)",0,0,0,0,
3,0,"(3,0) seq-3",5,5,5,5,0,0,0,0,5,5,2,"(|DA)",0,0,0,0,3
3,1,"(3,1)",5,5,0,0,5,5,0,0,5,5,5,"(|DB)",0,0,0,0,
3,2,"(3,2)",5,5,0,0,0,0,5,5,5,5,5,"(|DC)",0,0,0,0,
3,3,"(3,3)",5,5,5,5,0,0,0,0,5,5,5,"(|Da)",0,0,0,0,
3,4,"(3,4)",5,5,5,5,0,0,0,0,5,5,5,"(+Da)",0,0,0,0,
4,0,"(4,0)",5,5,0,0,5,5,0,0,0,0,5,"B",0,0,0,0,
4,1,"(4,1)",5,5,0,0,5,5,0,0,5,5,5,"(|dB)",0,0,0,0,
4,2,"(4,2)",5,5,0,0,0,0,5,5,5,5,5,"(|dC)",0,0,0,0,
4,3,"(4,3)",5,5,5,5,0,0,0,0,5,5,5,"(|da)",0,0,0,0,
4,4,"(4,4)",5,5,5,5,5,5,5,5,5,5,5,"(+(+AB)(+CD))",0,0,0,0,
