"HorizontalSelector","VerticalSelector","Name","MasterVol","MasterTone","AVol","ATone","BVol","BTone","CVol","CTone","DVol","DTone","ToneRange","S","TREM","VIB","AUX0","AUX1","SEQ"
0,0,"(0,0) seq-0",5,5,5,5,5,5,5,5,5,5,5,"(+AB)",0,0,0,0,0
0,1,"(0,1)",5,5,5,5,5,5,5,5,5,5,5,"(|AB)",0,0,0,0,
0,2,"(0,2) seq-1",5,5,5,5,5,5,5,5,5,5,5,"(|(+AB)(+CD))",0,0,0,0,1
0,3,"(0,3)",5,5,5,5,5,5,5,5,5,5,5,"(|CD)",0,0,0,0,
0,4,"(0,4) seq-2",5,5,5,5,5,5,5,5,5,5,5,"(+CD)",0,0,0,0,2
1,0,"(1,0)",5,5,5,5,5,5,5,5,5,5,5,"(|AB)",0,0,0,0,
1,1,"(1,1)",5,5,5,5,5,5,5,5,5,5,5,"(+(|AB)C)",0,0,0,0,
1,2,"(1,2)",5,5,5,5,5,5,5,5,5,5,5,"(|ABCD)",0,0,0,0,
1,3,"(1,3)",5,5,5,5,5,5,5,5,5,5,5,"(+B(|CD))",0,0,0,0,
1,4,"(1,4)",5,5,5,5,5,5,5,5,5,5,5,"(|CD)",0,0,0,0,
2,0,"(2,0)",5,5,5,5,5,5,5,5,5,5,5,"(|AC)",0,0,0,0,
2,1,"(2,1)",5,5,5,5,5,5,5,5,5,5,5,"(|AD)",0,0,0,0,
2,2,"(2,2)",5,5,5,5,5,5,5,5,5,5,5,"(|ABC)",0,0,0,0,
2,3,"(2,3)",5,5,5,5,5,5,5,5,5,5,5,"(|BC)",0,0,0,0,
2,4,"(2,4)",5,5,5,5,5,5,5,5,5,5,5,"(|BD)",0,0,0,0,
3,0,"(3,0)",5,5,5,5,5,5,5,5,5,5,5,"(|Ab)",0,0,0,0,
3,1,"(3,1)",5,5,5,5,5,5,5,5,5,5,5,"(|Bc)",0,0,0,0,
3,2,"(3,2)",5,5,5,5,5,5,5,5,5,5,5,"(|BCD)",0,0,0,0,
3,3,"(3,3)",5,5,5,5,5,5,5,5,5,5,5,"(|Cd)",0,0,0,0,
3,4,"(3,4)",5,5,5,5,5,5,5,5,5,5,5,"(|AbcD)",0,0,0,0,
4,0,"(4,0)",5,5,5,5,5,5,5,5,5,5,5,"(|A(+BD)C)",0,0,0,0,
4,1,"(4,1)",5,5,5,5,5,5,5,5,5,5,5,"A",0,0,0,0,
4,2,"(4,2)",5,5,5,5,5,5,5,5,5,5,5,"B",0,0,0,0,
4,3,"(4,3)",5,5,5,5,5,5,5,5,5,5,5,"C",0,0,0,0,
4,4,"(4,4)",5,5,5,5,5,5,5,5,5,5,5,"D",0,0,0,0,
