"HorizontalSelector","VerticalSelector","Name","MasterVol","MasterTone","AVol","ATone","BVol","BTone","CVol","CTone","DVol","DTone","ToneRange","S","TREM","VIB","AUX0","AUX1","SEQ"
0,0,"(0,0) seq-0",5,5,5,5,5,5,5,5,5,5,4,"(+AB)",0,0,0,0,0
0,1,"(0,1)",5,5,5,5,5,5,5,5,5,5,4,"(|AB)",0,0,0,0,
0,2,"(0,2) seq-1",5,5,5,5,5,5,5,5,5,5,4,"(|(+AB)(+CD))",0,0,0,0,1
0,3,"(0,3)",5,5,5,5,5,5,5,5,5,5,4,"(|CD)",0,0,0,0,
0,4,"(0,4)",5,5,5,5,5,5,5,5,5,5,4,"(+CD)",0,0,0,0,
1,0,"(1,0)  seq-2",5,5,5,5,5,5,5,5,5,5,4,"(|AB)",0,0,0,0,2
1,1,"(1,1)",5,5,5,5,5,5,5,5,5,5,4,"(+(|AB)C)",0,0,0,0,
1,2,"(1,2)",5,5,5,5,5,5,5,5,5,5,4,"(|ABCD)",0,0,0,0,
1,3,"(1,3)",5,5,5,5,5,5,5,5,5,5,4,"(+B(|CD))",0,0,0,0,
1,4,"(1,4)",5,5,5,5,5,5,5,5,5,5,4,"(|CD)",0,0,0,0,
2,0,"(2,0)",5,5,5,5,5,5,5,5,5,5,4,"(|AC)",0,0,0,0,
2,1,"(2,1)",5,5,5,5,5,5,5,5,5,5,4,"(|AD)",0,0,0,0,
2,2,"(2,2)",5,5,5,5,5,5,5,5,5,5,4,"(|ABC)",0,0,0,0,
2,3,"(2,3)",5,5,5,5,5,5,5,5,5,5,4,"(|BC)",0,0,0,0,
2,4,"(2,4)",5,5,5,5,5,5,5,5,5,5,4,"(|BD)",0,0,0,0,
3,0,"(3,0)",5,5,5,5,5,5,5,5,5,5,4,"(|Ab)",0,0,0,0,
3,1,"(3,1)",5,5,5,5,5,5,5,5,5,5,4,"(|Bc)",0,0,0,0,
3,2,"(3,2)",5,5,5,5,5,5,5,5,5,5,4,"(|BCD)",0,0,0,0,
3,3,"(3,3)",5,5,5,5,5,5,5,5,5,5,4,"(|Cd)",0,0,0,0,
3,4,"(3,4)",5,5,5,5,5,5,5,5,5,5,4,"(|AbcD)",0,0,0,0,
4,0,"(4,0)",5,5,5,5,5,5,5,5,5,5,4,"(|A(+BD)C)",0,0,0,0,
4,1,"(4,1)",5,5,5,5,5,5,5,5,5,5,4,"A",0,0,0,0,
4,2,"(4,2)",5,5,5,5,5,5,5,5,5,5,4,"B",0,0,0,0,
4,3,"(4,3)",5,5,5,5,5,5,5,5,5,5,4,"C",0,0,0,0,
4,4,"(4,4)",5,5,5,5,5,5,5,5,5,5,4,"D",0,0,0,0,
