*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=ArduStompPCB03
*Date=20:30:30
*CreatedBy=Fritzing 0.8.3b.07.27.048f
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;42.4688;-12.6208;0;Bottom;Copper Fill68
2;;THT;66.292;-26.5652;0;Bottom;9v IN
3;;;96.385;-44.2907;90;Bottom;TXT1
4;;;34.544;-47.1013;0;Bottom;Copper Fill8
5;;;10.536;-53.0134;0;Bottom;TXT1
6;;;98.044;-78.5973;0;Bottom;Copper Fill44
7;;;33.1081;-43.2794;90;Bottom;TXT1
8;1k;THT;71.372;-71.0152;-90;Bottom;R11
9;;;34.417;-68.0944;0;Bottom;Copper Fill96
10;;;23.112;-32.9153;0;Bottom;Via3
11;;;27.9371;-21.8012;90;Bottom;TXT1
12;;THT;92.962;-81.1752;-90;Bottom;LED-00
13;;;48.006;-81.2008;0;Bottom;Copper Fill16
14;;;20.3626;-21.3294;90;Bottom;TXT1
15;;;69.5447;-25.3003;0;Bottom;TXT1
16;;THT;45.9177;-81.1752;-90;Bottom;5v GND OUT
17;;;18.2626;-67.2181;0;Bottom;Copper Fill46
18;;;103.909;-90.3254;0;Bottom;Hole2
19;;;80.8482;-60.9824;0;Bottom;Copper Fill24
20;;;65.024;-78.5973;0;Bottom;Copper Fill33
21;;;48.1114;-21.194;90;Bottom;TXT1
22;1k;THT;94.232;-71.0152;-90;Bottom;R03
23;10k;THT;36.8641;-59.3674;-45;Bottom;R21
24;;;39.497;-63.0144;0;Bottom;Copper Fill88
25;;;11.1654;-65.9169;0;Bottom;TXT1
26;;;28.4226;-46.8981;0;Bottom;Copper Fill53
27;;;44.5292;-85.0066;90;Bottom;TXT1
28;;;48.257;-43.9526;90;Bottom;TXT1
29;;;35.3441;-68.9961;0;Bottom;Copper Fill94
30;;;51.653;-60.6589;0;Bottom;Via2
31;;;35.2203;-21.8012;90;Bottom;TXT1
32;;;81.5213;-61.9857;0;Bottom;Copper Fill63
33;;;72.6694;-53.2227;0;Bottom;Copper Fill5
